Unnamed: 0,Județ,administrare,Localitate,Altitudine (m),populatie,Latitudine N,Longitudine E,Cea mai apropiată stație,Distanța (km),special,auto,turism
851.0,Alba,oraș,Abrud,602,4360.0,46.2746751,23.0650287,ROSIA MONTANA,7.4,MUNTE,MASINI,
88.0,Alba,municipiul,Aiud,252,21307.0,46.3108893,23.7188181,BLAJ,22.0,,MASINI,
30.0,Alba,municipiul,Alba Iulia,249,64227.0,46.0687385,23.5704398,ALBA IULIA,0.7,,MASINI,DRUMETII
2426.0,Alba,comuna,Albac,632,1846.0,46.447786,22.9649845,CAMPENI (BISTRA),13.0,MUNTE,MASINI,
3019.0,Alba,comuna,Almașu Mare,607,1048.0,46.0977068,23.1290743,ROSIA MONTANA,24.5,MUNTE,MASINI,
2749.0,Alba,comuna,Arieșeni,831,1464.0,46.4762447,22.7579046,STEI (PETRU GROZA),23.6,MUNTE,MASINI,DRUMETII
2887.0,Alba,comuna,Avram Iancu,695,1271.0,46.3581643,22.8257225,TEBEA,14.0,MUNTE,MASINI,DRUMETII
1493.0,Alba,oraș,Baia de Arieș,482,3035.0,46.3802511,23.2812063,ROSIA MONTANA,12.9,,MASINI,
2559.0,Alba,comuna,Berghin,290,1672.0,46.0763002,23.7393617,ALBA IULIA,13.6,,MASINI,
854.0,Alba,comuna,Bistra,578,4340.0,46.3908813,23.1074417587547,CAMPENI (BISTRA),1.4,MUNTE,MASINI,
105.0,Alba,municipiul,Blaj,257,17816.0,46.1741571,23.9224826,BLAJ,0.4,,MASINI,
3113.0,Alba,comuna,Blandiana,246,818.0,45.9769441,23.38589,SEBES (ALBA),14.2,,MASINI,
2114.0,Alba,comuna,Bucerdea Grânoasă,276,2169.0,46.1928374,23.8395519,BLAJ,7.1,,MASINI,
2885.0,Alba,comuna,Bucium,732,1272.0,46.2640203,23.1790991,ROSIA MONTANA,6.7,MUNTE,MASINI,
2450.0,Alba,comuna,Câlnic,337,1810.0,45.8873438,23.658829,SEBES (ALBA),10.7,,MASINI,
416.0,Alba,oraș,Campeni,555,6569.0,46.3648431,23.0508775,CAMPENI (BISTRA),4.1,MUNTE,MASINI,DRUMETII
3027.0,Alba,comuna,Cenade,306,1031.0,46.05872,24.0089171,BLAJ,14.4,,MASINI,
2715.0,Alba,comuna,Cergău,332,1509.0,46.08724065,23.9450371142777,BLAJ,9.9,,MASINI,
3203.0,Alba,comuna,Ceru-Băcăinți,286,227.0,45.9736942,23.271899,SEBES (ALBA),22.9,,MASINI,
1652.0,Alba,comuna,Cetatea De Baltă,295,2792.0,46.2479378,24.172445,TARNAVENI (BOBOHALMA),16.7,,MASINI,
1317.0,Alba,comuna,Ciugud,223,3285.0,46.0460646,23.612864,ALBA IULIA,4.3,,MASINI,
